date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:27	67/67	---M--	200	added ('OK')	text/plain	date:Wed,%2025%20Oct%202017%2009:08:28%20GMT	http://fintechcircle.com/robots.txt		(from )
12:08:28	83694/83694	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202017%2009:08:27%20GMT	http://fintechcircle.com/	C:/My%20Web%20Sites/Fintechwebsite/fintechcircle.com/index.html	(from )
12:08:29	2950/2950	---M--	200	added ('OK')	image/png	etag:%2259399b53-b86%22	http://2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-57x57.png	C:/My%20Web%20Sites/Fintechwebsite/2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-57x57.png	(from http://fintechcircle.com/)
12:08:29	3181/3181	---M--	200	added ('OK')	image/png	etag:%2259399b53-c6d%22	http://2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-60x60.png	C:/My%20Web%20Sites/Fintechwebsite/2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-60x60.png	(from http://fintechcircle.com/)
12:08:30	3799/3799	---M--	200	added ('OK')	image/png	etag:%2259399b53-ed7%22	http://2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-72x72.png	C:/My%20Web%20Sites/Fintechwebsite/2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-72x72.png	(from http://fintechcircle.com/)
12:08:30	4090/4090	---M--	200	added ('OK')	image/png	etag:%2259399b53-ffa%22	http://2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-76x76.png	C:/My%20Web%20Sites/Fintechwebsite/2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-76x76.png	(from http://fintechcircle.com/)
12:08:31	6721/6721	---M--	200	added ('OK')	image/png	etag:%2259399b53-1a41%22	http://2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-114x114.png	C:/My%20Web%20Sites/Fintechwebsite/2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-114x114.png	(from http://fintechcircle.com/)
12:08:31	7195/7195	---M--	200	added ('OK')	image/png	etag:%2259399b53-1c1b%22	http://2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-120x120.png	C:/My%20Web%20Sites/Fintechwebsite/2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-120x120.png	(from http://fintechcircle.com/)
12:08:32	8922/8922	---M--	200	added ('OK')	image/png	etag:%2259399b53-22da%22	http://2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-144x144.png	C:/My%20Web%20Sites/Fintechwebsite/2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-144x144.png	(from http://fintechcircle.com/)
12:08:32	9491/9491	---M--	200	added ('OK')	image/png	etag:%2259399b53-2513%22	http://2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-152x152.png	C:/My%20Web%20Sites/Fintechwebsite/2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-152x152.png	(from http://fintechcircle.com/)
12:08:33	11923/11923	---M--	200	added ('OK')	image/png	etag:%2259399b53-2e93%22	http://2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-180x180.png	C:/My%20Web%20Sites/Fintechwebsite/2wpln01kngf046rqb1fkwlit.wpengine.netdna-cdn.com/wp-content/themes/fintech/assets/img/favicons/apple-icon-180x180.png	(from http://fintechcircle.com/)
